precinct;gender;nationality;category;num
1;Мужской;Белоруссы;Неграмотные;0
1;Мужской;Черкесы;Неграмотные;7
1;Мужской;Французы;Неграмотные;0
1;Мужской;Словаки;Неграмотные;0
1;Мужской;Латыши;Неграмотные;1
1;Мужской;Чехи;Неграмотные;0
1;Мужской;Англичане;Неграмотные;0
1;Мужской;Лезгины;Неграмотные;0
1;Мужской;Чуваши;Неграмотные;1
1;Мужской;Хивинцы;Неграмотные;0
1;Мужской;Кроаты;Неграмотные;1
1;Мужской;Осетины;Неграмотные;0
1;Мужской;Сербы;Неграмотные;0
1;Мужской;Норвежцы;Неграмотные;0
1;Мужской;Датчане;Неграмотные;0
1;Мужской;Румыны;Неграмотные;0
1;Мужской;Черногорцы;Неграмотные;0
1;Мужской;Зыряне;Неграмотные;0
1;Мужской;Эстонцы;Неграмотные;0
1;Мужской;Черемисы;Неграмотные;0
1;Мужской;Литвины;Неграмотные;0
4;Мужской;Русские;Неграмотные;3081
4;Мужской;Татары;Неграмотные;343
4;Мужской;Армяне;Неграмотные;78
4;Мужской;Евреи;Неграмотные;29
4;Мужской;Немцы;Неграмотные;55
4;Мужской;Персы;Неграмотные;6
4;Мужской;Поляки;Неграмотные;25
4;Мужской;Туркмены;Неграмотные;0
4;Мужской;Киргизы;Неграмотные;0
4;Мужской;Калмыки;Неграмотные;1
4;Мужской;Мордвины;Неграмотные;2
4;Мужской;Финны;Неграмотные;0
4;Мужской;Греки;Неграмотные;2
4;Мужской;Шведы;Неграмотные;0
4;Мужской;Грузины;Неграмотные;1
4;Мужской;Белоруссы;Неграмотные;1
4;Мужской;Черкесы;Неграмотные;3
4;Мужской;Французы;Неграмотные;1
4;Мужской;Словаки;Неграмотные;2
4;Мужской;Латыши;Неграмотные;0
4;Мужской;Чехи;Неграмотные;0
4;Мужской;Англичане;Неграмотные;0
4;Мужской;Лезгины;Неграмотные;3
4;Мужской;Чуваши;Неграмотные;0
4;Мужской;Хивинцы;Неграмотные;0
4;Мужской;Кроаты;Неграмотные;0
4;Мужской;Осетины;Неграмотные;1
4;Мужской;Сербы;Неграмотные;0
4;Мужской;Норвежцы;Неграмотные;0
4;Мужской;Датчане;Неграмотные;0
4;Мужской;Румыны;Неграмотные;0
4;Мужской;Черногорцы;Неграмотные;0
4;Мужской;Зыряне;Неграмотные;0
4;Мужской;Эстонцы;Неграмотные;0
4;Мужской;Черемисы;Неграмотные;0
4;Мужской;Литвины;Неграмотные;0
3;Мужской;Русские;Неграмотные;6055
3;Мужской;Татары;Неграмотные;273
3;Мужской;Армяне;Неграмотные;9
3;Мужской;Евреи;Неграмотные;11
3;Мужской;Немцы;Неграмотные;40
3;Мужской;Персы;Неграмотные;1
3;Мужской;Поляки;Неграмотные;8
3;Мужской;Туркмены;Неграмотные;0
3;Мужской;Киргизы;Неграмотные;82
3;Мужской;Калмыки;Неграмотные;48
3;Мужской;Мордвины;Неграмотные;4
3;Мужской;Финны;Неграмотные;2
3;Мужской;Греки;Неграмотные;1
3;Мужской;Шведы;Неграмотные;0
3;Мужской;Грузины;Неграмотные;0
3;Мужской;Белоруссы;Неграмотные;0
3;Мужской;Черкесы;Неграмотные;0
3;Мужской;Французы;Неграмотные;0
3;Мужской;Словаки;Неграмотные;0
3;Мужской;Латыши;Неграмотные;0
3;Мужской;Чехи;Неграмотные;0
3;Мужской;Англичане;Неграмотные;0
3;Мужской;Лезгины;Неграмотные;0
3;Мужской;Чуваши;Неграмотные;2
3;Мужской;Хивинцы;Неграмотные;0
3;Мужской;Кроаты;Неграмотные;0
3;Мужской;Осетины;Неграмотные;0
3;Мужской;Сербы;Неграмотные;0
3;Мужской;Норвежцы;Неграмотные;0
3;Мужской;Датчане;Неграмотные;0
3;Мужской;Румыны;Неграмотные;0
3;Мужской;Черногорцы;Неграмотные;0
3;Мужской;Зыряне;Неграмотные;1
3;Мужской;Эстонцы;Неграмотные;1
3;Мужской;Черемисы;Неграмотные;0
3;Мужской;Литвины;Неграмотные;0
6;Мужской;Русские;Неграмотные;4434
6;Мужской;Татары;Неграмотные;2191
6;Мужской;Армяне;Неграмотные;9
6;Мужской;Евреи;Неграмотные;25
6;Мужской;Немцы;Неграмотные;48
6;Мужской;Персы;Неграмотные;19
6;Мужской;Поляки;Неграмотные;15
6;Мужской;Туркмены;Неграмотные;78
6;Мужской;Киргизы;Неграмотные;17
6;Мужской;Калмыки;Неграмотные;0
6;Мужской;Мордвины;Неграмотные;3
6;Мужской;Финны;Неграмотные;0
6;Мужской;Греки;Неграмотные;0
6;Мужской;Шведы;Неграмотные;0
6;Мужской;Грузины;Неграмотные;0
6;Мужской;Белоруссы;Неграмотные;0
6;Мужской;Черкесы;Неграмотные;0
6;Мужской;Французы;Неграмотные;0
6;Мужской;Словаки;Неграмотные;0
6;Мужской;Латыши;Неграмотные;0
6;Мужской;Чехи;Неграмотные;0
6;Мужской;Англичане;Неграмотные;0
6;Мужской;Лезгины;Неграмотные;3
6;Мужской;Чуваши;Неграмотные;0
6;Мужской;Хивинцы;Неграмотные;0
6;Мужской;Кроаты;Неграмотные;0
6;Мужской;Осетины;Неграмотные;0
6;Мужской;Сербы;Неграмотные;0
6;Мужской;Норвежцы;Неграмотные;0
6;Мужской;Датчане;Неграмотные;0
6;Мужской;Румыны;Неграмотные;0
6;Мужской;Черногорцы;Неграмотные;0
6;Мужской;Зыряне;Неграмотные;0
6;Мужской;Эстонцы;Неграмотные;0
6;Мужской;Черемисы;Неграмотные;0
6;Мужской;Литвины;Неграмотные;0
5;Мужской;Русские;Неграмотные;2629
5;Мужской;Татары;Неграмотные;2539
5;Мужской;Армяне;Неграмотные;411
5;Мужской;Евреи;Неграмотные;27
5;Мужской;Немцы;Неграмотные;142
5;Мужской;Персы;Неграмотные;210
5;Мужской;Поляки;Неграмотные;28
5;Мужской;Туркмены;Неграмотные;5
5;Мужской;Киргизы;Неграмотные;11
5;Мужской;Калмыки;Неграмотные;0
5;Мужской;Мордвины;Неграмотные;1
5;Мужской;Финны;Неграмотные;0
5;Мужской;Греки;Неграмотные;0
5;Мужской;Шведы;Неграмотные;0
5;Мужской;Грузины;Неграмотные;2
5;Мужской;Белоруссы;Неграмотные;0
5;Мужской;Черкесы;Неграмотные;7
5;Мужской;Французы;Неграмотные;0
5;Мужской;Словаки;Неграмотные;0
5;Мужской;Латыши;Неграмотные;0
5;Мужской;Чехи;Неграмотные;0
5;Мужской;Англичане;Неграмотные;0
5;Мужской;Лезгины;Неграмотные;1
5;Мужской;Чуваши;Неграмотные;0
5;Мужской;Хивинцы;Неграмотные;3
5;Мужской;Кроаты;Неграмотные;0
5;Мужской;Осетины;Неграмотные;0
5;Мужской;Сербы;Неграмотные;0
5;Мужской;Норвежцы;Неграмотные;0
5;Мужской;Датчане;Неграмотные;0
5;Мужской;Румыны;Неграмотные;0
5;Мужской;Черногорцы;Неграмотные;0
5;Мужской;Зыряне;Неграмотные;0
5;Мужской;Эстонцы;Неграмотные;0
5;Мужской;Черемисы;Неграмотные;0
5;Мужской;Литвины;Неграмотные;2
2;Женский;Русские;Грамотные;1448
2;Женский;Татары;Грамотные;14
2;Женский;Армяне;Грамотные;222
2;Женский;Евреи;Грамотные;220
2;Женский;Немцы;Грамотные;123
2;Женский;Персы;Грамотные;1
